"cc_iso3c","cc_name","cap_litscore","cap_numscore","cap_pslscore","cap_tertedu","cap_ictwork","cap_numwork","cap_readwork","cap_writwork","cap_influence","cap_planning","cap_taskdisc","cap_learnatwk","cap_readytolrn","cap_lrn12mth","crm_approach","crm_leadinstfunc","crm_riskplanning","crm_multihazard","crm_riskmonitoring","crm_riskmgmtcap","crm_preprdness","crm_econappraisal","crm_intlcoop","crm_communications","crm_earlywarn","crm_evaluation","crm_postdisaster","dig_usr_busstart","dig_usr_regbus","dig_usr_family","dig_usr_job","dig_usr_court","dig_key_busstart","dig_key_regbus","dig_key_family","dig_key_job","dig_key_court","dig_mob_busstart","dig_mob_regbus","dig_mob_court","ffm_efficiency","ffm_openbudget","ffm_fmis_approach","ffm_pfpublish","ffm_mterm_budget","ffm_perf_budget","hrm_skillsmerit","hrm_cnxt_pol","hrm_cnxt_pers","hrm_formalexam","hrm_comp_salaries","hrm_perf_pay","hrm_perf_assmnt","hrm_scshr","hrm_hrdata","inc_wmn_cgov","inc_wmn_pubsec","inc_wmn_snrmgr","inc_wmn_snrgovt","inc_ethrel","int_offcorrupt","int_busfav","int_embezzlefund","int_grantfavours","int_fairtrtmnt","int_actimpartial","int_followrules","int_corruptn_prvnt","int_helpcitzens","int_srvministers","int_srvgovt","int_offsabsent","int_striveffcnt","int_postemp","int_lobbying","int_whstlcover","int_whstlprtct","opn_cvcprticp","opn_eparticp","opn_negpubsprt","opn_complaints","opn_impact","opn_opendata","opn_govdata","opn_right2info","opn_accessinfo","opn_publiclaw","pol_scholadvc","pol_goexpert","pol_stratplan","pol_mincoord","pol_linemins","pol_monmins","pol_monagncs","pol_natstds","pro_eproc_funcs","pro_cpb_roles","pro_sme_support","pro_admin_efctvns","pro_transparency","pro_integrity","reg_ria_use","reg_ria_primary","reg_ria_secondary","reg_eval_primary","reg_eval_secondary","reg_engmnt_primary","reg_engmnt_secondary","reg_ria_qual","reg_ria_check","tax_adminbudget","tax_debt_total","tax_timetopay","tax_ptr_online","tax_ctr_online","tax_vatr_online"
"AUS","Australia",0.8200818909361623,0.7760063929677357,0.3472100146490875,0.8905321447866019,0.4100775193798448,0.6844444444444445,0.5598484848484845,0.5968253968253967,0.661032863849765,0.7129251700680271,0.436745406824147,0.6711538461538461,0.7553719008264463,0.6624679170779862,0.5,0.7777777777777778,0.6666666666666666,0.8,0.75,1,1,1,1,1,1,1,1,0.8278551266250049,0.8449475571347318,0.6460415282980659,0.6809575583663006,0.612388414053589,0.845234813464252,0.5381366062471173,0.5111612657183873,0.812616953779897,0.3341703703700556,0.7231652712999513,0.54061302682,0.4429202935651398,0.45263578689836015,0.7810875683080934,0.5714285714285716,0.875,0.6460650807209083,0.5833225026379131,0.8799783636357255,0.666627794459349,0.7784764183175271,0.50239236206664994,0.5989131305152641,0.85,0.7822598134894818,0.5428571428571427,0.9333333333333332,0.5753827412476735,0.7333062329842156,0.7698730008262011,0.6278788460298433,0.5909091053475936,1,0.6851850935649035,0.8927159770809652,0.8524844706096568,0.7514355764855187,0.9361909730565682,0.808021910156507,0.75,0.7966074469021401,0.4042142324637793,0.6670201146496635,0.5843084325055735,0.7648741489265932,1,0.1,0.8,0.19261598839638874,0.8373752269919161,0.9557591623036649,0.625,0.7711042985756118,0.45,1,0.6547409914874925,0.4118716516601639,0.5,1,0.6666666666666666,1,0.6666666666666666,0.75,0.8571428571428571,1,0.8571428571428571,0.5714285714285714,0.6727272727272727,0.6222222222222222,0.55,0.545207683399976,0.8183421086914667,0.4813784920540739,0.75,0.776470588235294,0.7744807121661722,1,1,0.8228346456692913,0.6945606694560669,0.5,0,0.4680011214110203,0.9558713925268119,0.8635235732009926,0.9524975354329169,0.9044704276410815,0.7500771770771729
"AUT","Austria",0.826353992183138,0.7144141444411147,0.8877347183379939,0,0.43023255813953487,0.4000000000000001,0.5795454545454545,0.6825396825396826,0.2676056338028168,0.5816326530612244,1,0.44230769230769224,0.6776859504132233,0.484304047384008,1,0.2222222222222222,0,0.4,0.75,1,0.6666666666666666,0.8,1,1,1,1,0.3333333333333333,0.9663134016308786,0.9697624190045293,0.7725641426149987,0.8273728213904326,0.7337278106524803,0.7565113978602658,1,0.6785714285714286,0.8857517166600032,1,0.8909090909088926,0.32183908045862075,1,0.2300549736808885,0.4520025152996883,0.2142857142857142,0.375,0.886355826534319,0.9443657703192877,0.6118047808005047,0.09383378388905268,0.2314049500717159,0.8004385960535935,0.5846153922041425,0.675,0.5518867924528302,0.6571428571428569,0.7,0.9698818862378902,0.9223116440844871,0.555657518876864,0.3348811436756063,0.48949578241473074,0.6383389538358728,0.505653710238749,0.8237476766330143,0.8061224561345969,0.7978436542338396,0.8001107213977122,1,0.75,0.7840908867639452,0.8015601407255005,0.5923344260049263,0.6054228579132659,0.723684193801938,1,0,0.6,0.3423782249332331,0.8473413283037902,0.543979057591623,0.75,0.48668832011090757,0.64,0.3894165535956581,0.6806053873901236,0.37446560881092983,0.6666666666666666,0.6018128435610387,0.5,0.3333333333333333,0.5,0.5,0.14285714285714285,0.3333333333333333,0.8571428571428571,0.5714285714285714,0.8181818181818182,0.6666666666666666,0.75,0.3353357207687713,0.9351381405201553,0,0.75,0.6882352941176471,0.6468842729970327,0.6611570247933884,0.6593406593406593,0.3464566929133859,0.04602510460251046,0.5,0.7777777777777778,0.6395384320051919,0.9694880852568989,0.7990074441687345,0.8379084361892244,0.9542664971194411,0.947750486104862
"BEL","Belgium",0.8149078726968175,0.6820497452801918,0.46304434678385903,0.4254457050243112,0.48837209302325557,0.5066666666666668,0.39772727272727254,0.5,0.2676056338028168,0.7551020408163263,0.8661417322834646,0.4807692307692307,0.4545454545454547,0.42922013820335636,0.8888888888888888,0.6592592592592593,0.6222222222222221,0.6933333333333334,0.7166666666666667,0.9111111111111111,0.7777777777777777,0.76,0.8133333333333332,0.7666666666666666,0.8333333333333334,0.8888888888888888,0.7111111111111111,0.8503537649100775,0.8523694575129822,0.6017937818606031,0.6653446071659961,0.6410256410193129,0.6459101702675493,0.42769376181222374,0.389163265306,0.8082610528844898,0.6391666666675,0.5170454545454856,0.32183908045862075,0.3763440860225806,0.3720066726937614,0.36842353455074867,0.28571428571428575,1,0,0.6141694363983549,0.7812551330734617,0.5817694405946998,0.8884297524964142,1,0.6315934027538563,0,0.7531446540880503,0.6,0.8333333333333331,0.8117699281452645,0.7699197107326142,0.37988646150563166,0.3879827775954777,0.6029411788062283,0.6206896551724138,0.5813206550151676,0.7884972218297475,0.7414966006397797,1,0.8895349097683117,0.8215961828627513,0.75,0.7840908867639452,0.21160408726019025,0.6910568718024969,0.8725212435698865,0.4605263805055442,0,1,0.2,0.45996280344142393,0.8514977776457808,0.3675392670157067,0.5,0.7524829915255982,0.1,0.45047489823609227,0.41275675913996407,0.4689035512806679,0.5,0.541983061356839,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.875,1,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.7575757575757577,0.48888888888888893,0.5166666666666667,0.4223736144780989,0.6282937752233027,0.3716423728566524,0,0.6558823529411765,0.5727002967359051,0.68044077134986225,0.6785714285714285,0.5275590551181103,0.47280334728033474,0,0,0.5034995505204218,0.9164103379093017,0.7866004962779156,0.5183928692942497,0.9887464019032951,0.9761962419241189
"BGR","Bulgaria",0.8166201377256654,0.774468085106383,0.6484218937275266,0.6370340356564019,0.5341085271317828,0.5564444444444444,0.5022727272727271,0.4931216931216932,0.434741784037559,0.7210884353741496,0.39107611548556426,0.6423076923076925,0.7371900826446284,0.3472589667653834,0.688888888888889,0.5333333333333333,1,0.6,0.75,0.8666666666666666,0.3333333333333333,0.4,1,0.5666666666666667,1,0.4888888888888889,0.6666666666666666,0.36914188496302974,0.5464362850906287,0.4253870652141656,0.5125957034685664,0.266025641028287,0.43333773547627075,0.5259646391631959,0.11452380952285714,0.24054330803415935,0,0.5594405594410172,0.597701149424138,0.01720430107548387,0.3124991859778713,0.6741380085057145,0.14285714285714288,0.375,0.6813503556868995,0.6602017644901795,0.19208939468947345,0,0.14462804172870344,0.4298245516004924,0.43284019013228003,0.3516666666666667,0.6162342038556702,0.3523809523809523,0.6822222222222221,0.6624583224620211,0.766465588776373,0.6991943623823136,0.5218626189837795,0.43449196509122373,0,0.2153683090917029,0.29770230275568615,0.3214285512329926,0.5698113562548968,0.2635659131010332,0.41332601229775384,0.25,0.3661130742886149,1,0.6060037119708948,0.3909348190580128,0.2196356698726853,0.6,0.3,0.18666666666666668,0.3296089422802036,0.5022875387505151,0.661780104712042,0.375,0.2194951172693331,0.18,0.30800542740841247,0.45266571466362293,0.046274523639729614,0.5,0.32111373532216986,0.5,0.16666666666666666,0.3333333333333333,0.375,0.42857142857142855,0,0.14285714285714285,0.2857142857142857,0.7818181818181817,0.48888888888888893,0.5333333333333333,0.10720705100855747,0.6574943133437114,0.47516485861717117,0.375,0.6415686274509803,0.6057368941641939,0.4086317722681359,0.39615384615384613,0.5937007874015748,0.49037656903765686,0.5,0.4444444444444444,0.40528874249883057,0.8620309357351132,0,0.2425990370115978,0.4325205748872582,0.995937825612824
"CAN","Canada",0.8403126744835289,0.7644590949955049,0.36995605273671567,0.9224068071312806,0.7325581395348834,0.8800000000000002,0.6818181818181815,0.6507936507936508,0.4929577464788734,0.7551020408163263,0.5826771653543307,0.7884615384615387,0.9669421487603309,0.8718657453109575,1,1,0.7777777777777777,0.5466666666666666,0.85,1,0.8000000000000002,0.76,0.8,0.5,0.9166666666666664,1,0.8666666666666667,0.7201824911799223,0.7077472989313212,0.6092040128278654,0.7115029603171955,0.6749123383728414,0.5963369094027725,0.5404666592519742,0.4449165739020381,0.6663841705816892,0.5249222222224444,0.5725558754969774,0.5241379310342529,0.7100716845874409,0.5190281145431556,0.742668946381315,0.2142857142857142,0.625,0.7024284453520706,0.8660142801185107,0.9467183060380744,0.8400883348954187,0.818424903058093,0.8040021840000048,0.5652714764913626,0.8166666666666667,0.8286163522012578,1,0.9166666666666666,0.7449405235057577,0.6440242199360382,0.8428087660265253,0.9301725220176451,0.7897924277071035,0.7866588065880507,0.6065631853859483,0.8920454497786302,0.9293154740867701,0.8435072111909196,1,0.950151790143995,0.75,0.9872995572762263,0.6841998539260219,1,0.766288946544792,0.904798787658874,1,0,0.8,0.23603351902562342,0.8742322414911589,0.7646596858638744,0.75,0.8563809037549942,0.63,0.7964721845318861,0.7010253219746143,0.4630427116125882,0.5,0.929445443971555,1,1,0.8333333333333334,0.625,0.8571428571428571,1,0.7142857142857143,0.5714285714285714,0.36363636363636365,0.6666666666666666,0.75,0.5151186190770904,0.7908178853611271,0.376377493743945,0.625,0.776470588235294,0.9109792284866469,0.6776859504132231,0.8131868131868132,0.7440944881889763,0.9456066945606695,0.625,0.6666666666666666,0.4390120383494829,0.939876941007633,0.7990074441687345,0.7830474045654998,0.7994536798025333,0.766091070366428
"CHE","Switzerland",0.805676530802159,0.7215662770951953,0.49095751764549184,0.6579956780118856,0.49534883720930234,0.6906666666666667,0.7409090909090907,0.6153439153439153,0.49671361502347455,0.6891156462585032,0.5480314960629921,0.6615384615384616,0.7250688705234161,0.7547745969068773,0.8333333333333334,0.5555555555555556,0.3333333333333333,0.8,1,1,1,0.8,1,1,1,1,1,0.6862571627718212,0.42502858594826687,0.6584396606225829,0.12268747105781877,0.4602564102590908,0.18832611254132112,0.1002668742309973,0.24348299319628572,0,0.34800000000000003,0.7017982017967306,0.712643678162069,0.4372759856612904,0.849453548675803,0.5788257311870474,0.28571428571428575,0.75,0.8506093204040246,0.9417283564784686,0.8964812511570914,0.5817694405946998,0.7173553504289312,0.23026314765408584,0.8476923959748571,0.9,0.7366352201257862,0.3142857142857142,0.9666666666666666,0.4438135381182147,0.9751240786388733,0.20696303982931988,0.3427830596091443,0.5500000026470587,0.8965517241379312,0.9024969877833227,0.8519480454106929,0.8190476136621314,0.9433962462798158,0.8895349097683117,0.6967135295990704,0.875,0.8272727396384305,0.01638232458012749,0.4146341645449146,0.7025495683297353,0.810526328005541,1,0.5,0.2,0.6245810332411598,0.7708343415750492,0.58821989528795815,1,0.6472113317977957,0.37,0.12483039348710989,0.37180287005240087,0.5215518143842252,0.8333333333333334,0.3358758569030983,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.875,0.5714285714285714,0.8333333333333334,0.42857142857142855,0.7142857142857143,0.6484848484848484,0.5333333333333333,0.41666666666666663,0.6088437318360831,0.1960292714027384,1,0.75,0.7970588235294118,0.7952522255192879,0.5426997245179063,0.4505494505494505,0.7165354330708662,0.5104602510460251,0.75,0.6666666666666666,0.9319132004245972,0.9994135983009068,0.967741935483871,0.4942848758118275,0.5121925805658003,0
"CHL","Chile",0.15214963707426019,0,0.5165801038753493,0.7487844408427877,0.8488372093023252,0.3466666666666667,0.5227272727272724,0.5476190476190477,0.647887323943662,0.6938775510204079,0.4094488188976378,0.8942307692307694,1,0.6345508390918068,0.8333333333333334,0.4444444444444444,0.48888888888888893,0.5066666666666666,0.8,0.6666666666666666,0.9555555555555554,0.7333333333333334,0.8,0.5,1,0.6666666666666666,0.6666666666666666,0.6212328591135042,0.7083949647611493,0.524401952963099,0.6773248893390093,0.5097522230855197,0.5815043829071277,0.628183587233253,0.3852637188207619,0.6355870778619187,0.37514444444422224,0.5807905381892288,0.5310344827583907,0.6607014848950538,0.2995136192929349,0.5498248627880943,0.3571428571428572,0.5,0.46423985765978637,0.6311097159121695,0.5902383995030688,0.33780161224187627,0.27479333916057336,0.50239236206664994,0.43513984430120267,0.775,1,0.6,0.7,0.3571063864406304,1,0.7220941665223493,0.7072824522873031,0.2205882516435985,0.4857330350844544,0.45639477693638725,0.8025973938809239,0.7964285653698978,0.705660385560698,0.7822259105508356,0.9152582118363314,0.5,0.7768939994477476,0.2866894187189135,0.539024496835222,0.6407416802434375,0.5618420747957045,0,0,0,0.8569832383084174,0.6369152958678174,0.5293193717277488,0.625,0.6813602270116278,0.28,0.45047489823609227,0.22521799726646127,0.5475393702504423,0.5,0.4906701875508098,1,1,0.6666666666666666,0.75,0.8571428571428571,0.8333333333333334,0.5714285714285714,0.14285714285714285,0.7272727272727273,0.6666666666666666,0.75,0.5253681210313529,0.6477921804320845,0.3276572372658714,0.75,0.3764705882352941,0.38575667655786355,0.3140495867768595,0.08516483516483517,0.21653543307086615,0.1673640167364017,0.75,0.4444444444444444,0.5546426096496023,0.4739783531616037,0.38957816377171217,0.9972399216729386,0.9900994238472747,0.9708793980734145
"CZE","Czechia",1,0.8900209769253822,0.7758689572512981,0.2722852512155592,0.5697674418604651,0.68,0.5909090909090906,0.6269841269841271,0.1549295774647889,0.7653061224489796,0.6771653543307086,0.4807692307692307,0.578512396694215,0.6991115498519251,0.8444444444444444,0.5111111111111111,0.3333333333333333,0.8,0.75,0.888888888888889,1,0.6,1,0.9666666666666666,1,0.9333333333333332,0.6666666666666666,0.42422287598128944,0.9466395629534388,0.18838242250380893,0.41744966419056095,0.45405982905328973,0.6144497194239432,0.693949460690509,0.32142857142857145,0.3627755692082669,0.389166666665,0.5288961038945527,0.6896551724137931,0.38709677419032257,0.29299348047538726,0.6125371884880478,0.07142857142857144,0.5,0.8463657318772043,0.5852075473026224,0.6118047808005047,0.3106940540722001,0.3789256031391287,0.38991227081121105,0,0.875,0.8915094339622641,0.6,0.7,0.17713529759646673,0.06786532835629766,0.5422947996325358,0.26599687670997424,0.3760504124938211,0.32758620689655177,0.19069187520535313,0.39682538115852334,0.40624998232886855,0.49056604670701354,0.47222230792035996,0.6481481764780023,0.5,0.4242424402720394,0.5870306995026168,0.4607046641284974,0.6270065751162963,0.153508793501848,0,0.26666666666666666,0,0.1855989805908403,0.6581059055444335,0,0.5,0.4036963006439819,0.46,0.40976933514246944,0.39471405616981253,0.37109525756330375,0.6666666666666666,0.5055842157183613,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.42857142857142855,0.16666666666666666,0.2857142857142857,0.5714285714285714,0.6666666666666667,0.4222222222222222,0.6166666666666667,0.6566355051638183,0.8795782554426352,0.2461961844013972,0.75,0.7529411764705881,0.7507418397626113,0.2809917355371901,0.2802197802197802,0.37007874015748027,0.3138075313807531,1,0.5555555555555556,0.2331023721719099,0.9272745764617076,0.5533498759305211,0.06319939268772977,0,0.42213604293208234
"DEU","Germany",0.9726409826912342,0.8453700928978125,0.3200159808230121,0.6219611021069692,0.41860465116279066,0.49333333333333346,0.8295454545454541,0.6666666666666666,0.16901408450704242,0,0.7874015748031495,0.6153846153846155,0.5950413223140497,0.6991115498519251,0.8333333333333334,0,0,0,0,1,0,0,0,0.5,1,0.6666666666666666,0.6666666666666666,0.7881428773965297,0.9874010079181752,0.7390267763961887,0.8360066314403327,0.7474358974378071,0.7856586478606082,0.8452963415972775,0.21306802721142856,0.8432718949509626,0.3613333333325,0.7909090909091654,0.5517241379310345,0.02396313364064516,0.8808840748052609,0.720678490551261,0.6428571428571429,0.75,0.8868990931374955,0.5362795719574598,0.821923118931112,0.6750512228753214,0.8214875623413675,0.6792763065335006,0.30559441329814463,0.8,0.8565903064900905,0.39999999999999986,0.29999999999999993,0.9791662065820158,0.9942456194779988,0.5176959560998663,0.44151263040337785,0.38092981540629517,0.810344827586207,0.8360026921852599,0.9012986969404619,0.8718253854709936,0.7735849171947318,0.8617825560197772,0.952521531559228,0.75,0.6842619882503561,0.09776504651174939,0.2813588025962403,0.7753945671477522,0.5912564449971005,1,0,0.8,0.7051721146253136,0.9204390290181661,0.793979057591623,0.625,0.6921247575025218,0.55,0.43012211668928085,0.34819935890841336,0.607774215372581,0.6666666666666666,0.6799918252048013,0.6666666666666666,0.5,0.16666666666666666,0.5,0.42857142857142855,0.16666666666666666,0.7142857142857143,0.7142857142857143,0.36363636363636365,0.3333333333333333,0.25,0.6367379890424489,0.7940036842994616,0.22157882382125368,0.75,0.8176470588235294,0.7507418397626113,0.768595041322314,0.7664835164835164,0.4251968503937008,0.3556485355648536,1,0.7777777777777778,0.07597669117228646,0.9111761915235794,0.5831265508684863,0.6236947000581461,0.7678919714092066,0.8540987036969473
"DNK","Denmark",0.9120603015075378,0.8567575666766558,0.5517379145025965,0.684967585089141,0.6395348837209303,0.42666666666666675,0.7159090909090909,0.5079365079365078,0.647887323943662,0.7959183673469385,0.8897637795275589,0.6826923076923076,0.9834710743801657,1,0,0.5851851851851851,0,0.6,0.5,0,1,0.6,1,1,1,1,0,0.995789175204597,1,1,0.7952884470424127,0.5635198135230819,0.8976201678579979,0.995183754030895,1,0.8854354896993962,0.5,1,0.712643678162069,0.49462365591290325,0.5275794113777388,0.5691356217422477,0.3571428571428572,0.375,0.9827463763135762,0.7199397653736626,0.9168152915320029,0.9302949270964357,0.7694214954347386,0.28015349864068745,0.4201923059532174,1,0.7712264150943396,0.5714285714285713,0.5333333333333333,0.8380118327403324,0.3625947263503761,0.3852926918472831,0.4944918809312364,0.27941174835640153,0.8335940208812939,0.7983773369042093,0.952999377145427,0.9353741445051827,0.8754717146457821,0.863985126332573,0.805164314778263,1,0.8087121352380344,0.4763786700276056,0.6110398585334574,0.7535410709017806,0.7901662188784816,0.6666666666666666,0.26666666666666666,0.5866666666666667,0.5498802736315525,1,1,0.875,0.9177172454736257,0.63,0.7150610583446404,0.6174702737185651,0.6907036088573187,0.8333333333333334,0.8636854796053207,1,0.6666666666666666,1,0.75,0.8571428571428571,0.6666666666666666,0.7142857142857143,1,0.5454545454545454,1,0.5,0.7462428497533584,0.8601710852820416,0.8291509778147851,0.75,0.5147058823529412,0.23738872403560835,0.650137741046832,0.6428571428571428,0.5984251968503937,0.3849372384937239,1,0.8888888888888888,0.8115497185458513,0.9796746299370408,0.7965260545905707,0.30393039533284333,0.7084875362186418,1
"ESP","Spain",0.678391959798995,0.6487863350314654,0.5388467172726059,0.6529578606158832,0.43023255813953487,0.6266666666666669,0.4659090909090908,0.7063492063492062,0.2676056338028168,0.7142857142857141,0.37007874015748027,1,0.8512396694214878,0.4702862783810465,1,1,1,0,1,1,1,0.2,1,1,1,1,0.6666666666666666,0.8162385788332451,0.5464362850906281,0.5821068200679255,0.9046552916702728,1,0.9829903210303214,0.7092738796831158,0.3484625850314286,0.8644380195150962,0.7225,0.7575757575750138,0.8850574712655173,0.27956989247419356,0.32724844663114744,0.5156066956455648,0.7857142857142856,0.875,0.7142286759676527,0.6342752970044656,0.6221192041165743,0.5393402636623752,0.6200143567116455,0.7421815533819771,0.04130429599707067,0.725,0.31999566254608564,0.39999999999999986,0.7333333333333333,0.8767952087554951,0.7847757385148373,0.5833629260048525,0.459065390463203,0.23235291922145335,0.9655172413793103,0.26175837000888724,0.6137774829460187,0.5771221445572068,0.6037735881096477,0.7495667199035422,0.7130026256259078,0.625,0.6542325766086338,0.5413266277940973,0.4326618360680807,0.28870549096216397,0.4164759765235459,0.6666666666666666,1,0.4666666666666667,0.4704881553732107,0.6833927055586602,0.9557591623036649,0.375,0.5492253901368312,0.56,0.5617367706919946,0.776396080621431,0.3486020585444639,0.3333333333333333,0.5809566137621972,0.6666666666666666,0.8333333333333334,0.5,0.625,0.7142857142857143,0.5,0.5714285714285714,0.42857142857142855,0.9090909090909091,0.6666666666666666,0.25,0.21255945544557375,0.6312405686452494,0.4753377198515753,0.375,0.5911764705882352,0.5756676557863503,0.24517906336088155,0.24999999999999997,0.4094488188976378,0.39748953974895407,0.375,0.3333333333333333,0.6662283129729853,0.9420558822219276,0.7580645161290323,0.756030444945766,1,1
